,,,,ה צ ע ת  התקציב הרגיל לשנת: 2015,תקציב,אומדן,תקציב,תקציב,ביצוע
,,,44,"סה""כ - חניית מכוניות:","23,495","23,085","21,060","21,060","22,961"
,,,47,מפעל הביוב,,,,,
מפעל הביוב,7,590,471000,"מימון של פרע""מ ביוב מקרע""פ (עד 2013 בפרק 472.)","9,750","9,850","10,100","10,100",0
מפעל הביוב,2,210,472000,אגרת ביוב,0,40,0,0,118
מפעל הביוב,2,420,472000,"תקבולים מהתאגיד למימון עלויות עובדים ""מושאלים"" (ביוב)",190,185,185,185,182
מכון הטיהור,2,420,473000,"תקבולים מהתאגיד למימון עלויות עובדים ""מושאלים"" (מכון הטיהור)","1,670","1,616","1,646","1,646","1,595"
,,,47,"סה""כ - אגרת ביוב:","11,610","11,691","11,931","11,931","1,895"
,,,4,"סה""כ - מפעלים ונכסים:",0,0,0,0,0
,,,5,תקבולים בלתי רגילים,,,,,
תקבולים בלתי רגילים,7,660,511000,הכנסות מימון,"8,204","8,098","8,098","8,098","10,573"
תקבולים בלתי רגילים,7,661,511000,הכנסות מימון מהסדרי תשלומים,70,70,70,70,149
תקבולים בלתי רגילים,2,662,511000,הכנסות מדיבידנד,0,0,0,0,"12,787"
תקבולים בלתי רגילים,7,510,513000,הכנסות והחזר הוצאות משנים קודמות ,"3,000","4,700","4,362","2,000","3,800"
תקבולים בלתי רגילים,7,590,591100,החזרות מקרנות הרשות השונות,100,100,100,100,197
תקבולים בלתי רגילים,7,591,591100,"מימון פרע""מ פיתוח מהיטלי השבחה","7,700","8,700","9,100","9,100","7,305"
תקבולים בלתי רגילים,7,592,591100,"מימון פרע""מ מים מהיטלי מים",500,510,550,550,0
תקבולים בלתי רגילים,7,593,591100,"מימון פרע""מ כבישים מהיטלי סלילת כבישים ומדרכות","4,850","5,200","5,450","5,450","5,324"
תקבולים בלתי רגילים,7,594,591100,"מימון פרע""מ ניקוז מהיטלי תיעול (ניקוז) ומהיטלי השבחה ","6,050","6,000","6,150","6,150","6,037"
תקבולים בלתי רגילים,7,420,594000,"השתתפות קרן דמ""נ",350,340,125,125,296
תקבולים בלתי רגילים,7,910,594000,השתתפות משרד הפנים לפנסיה צוברת,380,380,550,550,377
תקבולים בלתי רגילים,7,490,597200,השתתפות רשויות אחרות במימון עלויות פנסיה (להוציא חינוך ורווחה),370,0,0,0,0
,,,5,"סה""כ - תקבולים בלתי רגילים:","31,574","34,098","34,555","32,193","46,845"
,,,6.,מינהל ומימון,,,,,
,,,61.,מינהל כללי,,,,,
,,,6111.,נבחרים,,,,,
נבחרים,1 ,100 ,611100 ,משכורות כוללות ,"2,150","2,075","2,075","2,075","2,027"
נבחרים,1 ,514 ,611100 ,מתנות,10,10,10,10,7
נבחרים,1 ,540 ,611100 ,הוצאות טלפון,20,15,20,20,9
נבחרים,1 ,780 ,611100 ,הוצאות אחרות,25,15,15,15,12
,,,6111.,"סה""כ  - נבחרים:","2,205","2,115","2,120","2,120","2,054"
,,,6112.,מועצה וועדות,,,,,
מועצה וועדות,1 ,100 ,611200 ,שכר ריכוז ועדות,985,950,940,940,"1,103"
מועצה וועדות,2 ,410 ,611200 ,שכר דירה,30,27,27,27,25
מועצה וועדות,1 ,470 ,611200 ,ציוד משרדי שוטף ,10,10,10,10,5
מועצה וועדות,1 ,560 ,611200 ,הוצאות הקלטה ורישום סטנוגרמות,30,15,35,35,14
מועצה וועדות,10 ,570 ,611200 ,הוצאות מיכון וועדות,41,28,28,28,9
מועצה וועדות,5 ,750 ,611200 ,ניקיון בקבלנות,5,5,5,5,4
מועצה וועדות,1 ,780 ,611200 ,"תפעול ישיבות מועצה, ועדות ושונות",120,100,150,150,107
מועצה וועדות,1 ,781 ,611200 ,הוצאות לפעולות - ועדת חינוך ,90,90,90,90,85
מועצה וועדות,1 ,782 ,611200 ,הוצאות לפעולות - ועדת מעמד הילד ,30,30,30,30,21
מועצה וועדות,1 ,783 ,611200 ,הוצאות לפעולות - ועדת נגישות,150,60,60,60,53
מועצה וועדות,82 ,784 ,611200 ,הוצאות לפעולות - פורום צעירים (ב- 2015 הועבר למרכז צעירים - סעיף 7692/782),0,170,170,170,169
מועצה וועדות,1 ,785 ,611200 ,הוצאות לפעולות - ועדת תנועה,30,30,30,30,5
מועצה וועדות,1 ,786 ,611200 ,הוצאות לפעולות - ועדת ערר לארנונה,80,60,90,90,77
מועצה וועדות,81 ,787 ,611200 ,הוצאות לפעולות - ועדת בריאות (ב- 2014 הופרד מסעיף 831/780),14,15,15,15,0
מועצה וועדות,4 ,788 ,611200 ,הוצאות לפעולות - ועדת בניין עיר,30,25,25,25,0
,,,6112.,"סה""כ - מועצה (+ ועדות):","1,645","1,615","1,705","1,705","1,676"
,,,6113.,הנהלה כללית,,,,,
הנהלה כללית,1 ,100 ,611300 ,משכורות כוללות  ,"3,900","3,500","4,165","4,040","2,883"
הנהלה כללית,1 ,470 ,611300 ,ציוד משרדי שוטף ,60,60,60,60,45
הנהלה כללית,1 ,511 ,611300 ,הוצאות כיבוד,120,120,120,100,84
הנהלה כללית,1 ,522 ,611300 ,"ספרים, עתונים ואגרת טלוויזיה",85,85,85,85,82
הנהלה כללית,5 ,530 ,611300 ,אחזקת רכב עירוני - מינהלי (2),190,130,110,110,53
הנהלה כללית,1 ,540 ,611300 ,דואר וטלפון ישיר,60,50,75,75,43
הנהלה כללית,12 ,550 ,611300 ,פרסומים ודפוס,300,98,98,98,96
הנהלה כללית,1 ,560 ,611300 ,הוצאות משרד ושוטפות  ,25,20,20,20,13
הנהלה כללית,10 ,570 ,611300 ,הוצאות מיכון,17,17,17,17,16
הנהלה כללית,12 ,742 ,611300 ,אחזקת מכונת צילום,3,2,3,3,2
הנהלה כללית,5 ,750 ,611300 ,אבטחת בנין העירייה בקבלנות ,390,380,380,206,167
הנהלה כללית,5 ,751 ,611300 ,אחזקת מעלית,11,11,11,11,8
הנהלה כללית,1 ,752 ,611300 ,הוצאות בגין ייעוץ חיצוני ,100,100,100,50,0
הנהלה כללית,1 ,755 ,611300 ,"העסקת כ""א באמצעות חב' השמה",300,290,290,70,54
הנהלה כללית,1 ,780 ,611300 ,הוצאות אחרות לפעולות,20,20,20,20,17
הנהלה כללית,1 ,930 ,611300 ,רכישת ציוד יסודי,5,5,5,5,4
הנהלה כללית,1 ,950 ,611300 ,בקרה על העסקת עובדי קבלן,50,25,50,0,25
,,,6113.,"סה""כ  - הנהלה כללית:","5,636","4,913","5,609","4,970","3,593"
,,,612.,מבקר העירייה,,,,,
מבקר העירייה,1 ,100 ,612000 ,משכורות כוללות,930,900,900,900,863
מבקר העירייה,2 ,410 ,612000 ,שכר דירה (כולל ועד בית),75,67,72,72,65
מבקר העירייה,1 ,522 ,612000 ,ספרים ועתונים,5,5,5,5,0
מבקר העירייה,1 ,540 ,612000 ,פלאפון וטלפון ישיר,6,6,6,6,3
מבקר העירייה,1 ,780 ,612000 ,הוצאות לפעולות ושוטפות,270,270,270,270,235
מבקר העירייה,1 ,930 ,612000 ,רכישת ציוד יסודי,12,12,12,12,4
,,,612.,"סה""כ  - מבקר העירייה:","1,298","1,260","1,265","1,265","1,170"
,,,6121.,נציב תלונות הציבור,,,,,
נציב תלונות הציבור,1 ,100 ,612100 ,משכורות כוללות,600,680,705,705,653
נציב תלונות הציבור,1 ,540 ,612100 ,טלפון ישיר,5,5,5,5,3
נציב תלונות הציבור,1 ,560 ,612100 ,הוצאות משרד ושונות,11,11,11,11,4
נציב תלונות הציבור,10 ,570 ,612100 ,הוצאות מיכון,19,18,18,18,17
נציב תלונות הציבור,1 ,755 ,612100 ,העסקה באמצעות חברת השמה,0,0,28,28,35
נציב תלונות הציבור,1 ,780 ,612100 ,הוצאות ליישום חוק חופש המידע,10,10,10,10,0
,,,6121.,"סה""כ  - נציב תלונות הציבור:",645,724,777,777,712
,,,613.,מזכיר העיר,,,,,
מזכיר העיר,1 ,100 ,613000 ,משכורות כוללות,"1,035","1,000","1,100","1,100",973
מזכיר העיר,1 ,522 ,613000 ,ספרים ועתונים ,3,2,2,2,1
מזכיר העיר,1 ,540 ,613000 ,דואר וטלפון ישיר,9,9,9,9,10
מזכיר העיר,1 ,560 ,613000 ,הוצאות משרד ושונות,10,10,10,10,8
מזכיר העיר,1 ,750 ,613000 ,שרותי שליחות,120,110,120,120,102
מזכיר העיר,1 ,751 ,613000 ,שרותי ארכיב בקבלנות,250,240,250,250,240
מזכיר העיר,1 ,780 ,613000 ,ארכיון עירוני (הסטורי),42,40,44,44,32
מזכיר העיר,1 ,781 ,613000 ,פרס הרצל  ,0,170,170,0,0
מזכיר העיר,1 ,782 ,613000 ,דמי אחזקת תו תקן ISO,70,70,70,70,68
מזכיר העיר,1 ,785 ,613000 ,שלטי הנצחה,80,120,120,20,0
,,,613.,"סה""כ  - מזכיר העיר:","1,619","1,771","1,895","1,625","1,434"
,,,614.,הסברה ותדמית,,,,,
הסברה ותדמית,12 ,100 ,614000 ,משכורות כוללות,"1,250",900,"1,200","1,200","1,072"
הסברה ותדמית,12 ,470 ,614000 ,ציוד משרדי שוטף ,29,20,29,29,14
הסברה ותדמית,12 ,514 ,614000 ,"מזכרות, מתנות למשלחות, סמלים ושונות",200,142,142,142,125
הסברה ותדמית,5 ,530 ,614000 ,אחזקת רכב עירוני - מינהלי,30,30,34,34,37
הסברה ותדמית,12 ,540 ,614000 ,טלפון ישיר ,15,10,15,15,10
הסברה ותדמית,12 ,550 ,614000 ,פרסומים ודפוס,525,475,475,475,423
הסברה ותדמית,12 ,551 ,614000 ,תהליך מיתוג העיר,60,100,100,100,99
הסברה ותדמית,12 ,571 ,614000 ,אחזקת אינטרנט עירוני ,200,200,200,200,158
הסברה ותדמית,12 ,755 ,614000 ,העסקה באמצעות חברת השמה,0,0,0,0,7
הסברה ותדמית,12 ,780 ,614000 ,הוצאות שונות ורזרבה ,120,120,120,120,104
הסברה ותדמית,12 ,784 ,614000 ,תיעוד,120,100,100,100,90
,,,614.,"סה""כ  - הסברה ותדמית:","2,549","2,097","2,415","2,415","2,139"
,,,615.,משאבי אנוש,,,,,
משאבי אנוש,11 ,100 ,615000 ,משכורות כוללות ,"2,445","2,360","2,360","2,360","2,282"
משאבי אנוש,11 ,470 ,615000 ,ציוד משרדי שוטף,65,55,55,55,46
משאבי אנוש,11 ,521 ,615000 ,"השתלמויות, הדרכה  והעשרה מקצועית (בנפרד: מצילים, שפ""ח ושר""ק) ",320,370,370,370,309
משאבי אנוש,11 ,522 ,615000 ,ספרות מקצועית,10,10,10,10,10
משאבי אנוש,11 ,523 ,615000 ,דמי חבר בארגונים - כללי  (חינוך בפרק .811),360,335,330,330,286
משאבי אנוש,11 ,524 ,615000 ,"השתתפות בשכ""ל ",150,135,135,135,74
משאבי אנוש,11 ,526 ,615000 ,השתלמות אירגונית ,250,250,350,500,876
משאבי אנוש,11 ,540 ,615000 ,פלאפון וטלפון ישיר,10,8,10,10,5
משאבי אנוש,12 ,550 ,615000 ,פרסומים ודפוס,216,216,216,216,155
משאבי אנוש,11 ,560 ,615000 ,הוצאות משרד ושונות ,15,15,15,15,9
משאבי אנוש,10 ,570 ,615000 ,אחזקת מערכות נוכחות ומיכון,166,151,151,151,152
משאבי אנוש,11 ,742 ,615000 ,אחזקת מכונת צילום,3,3,3,3,2
משאבי אנוש,11 ,780 ,615000 ,סקרים והוצאות לפעולות,35,35,35,35,27
משאבי אנוש,11 ,781 ,615000 ,פעולות גיבוש וארועי עובדים ,180,180,230,80,48
משאבי אנוש,11 ,782 ,615000 ,איבחון מועמדים לעבודה,15,10,15,15,0
משאבי אנוש,11 ,930 ,615000 ,רכישת ציוד יסודי,35,20,34,34,33
משאבי אנוש,11 ,960 ,615000 ,"רזרבת ר' האגף להוצאות ב""צ ",10,10,10,10,3
,,,615.,"סה""כ - משאבי אנוש:","4,285","4,163","4,329","4,329","4,315"
,,,616.,יח' מטה למיחשוב ,,,,,
יח' מטה למיחשוב ,10 ,100 ,616000 ,משכורות כוללות ,"1,810","1,750","1,750","1,750","1,638"
יח' מטה למיחשוב ,2 ,410 ,616000 ,שכר דירה (כולל ועד בית),165,150,138,138,124
יח' מטה למיחשוב ,5 ,530 ,616000 ,אחזקת רכב עירוני - מינהלי (1),30,30,28,28,22
יח' מטה למיחשוב ,10 ,540 ,616000 ,פלאפון וטלפון ישיר,22,22,22,22,21
יח' מטה למיחשוב ,10 ,570 ,616000 ,הוצאות מיכון ,590,390,390,390,390
יח' מטה למיחשוב ,10 ,571 ,616000 ,תמיכה שוטפת בתשתיות מיחשוב ,607,570,570,550,525
יח' מטה למיחשוב ,10 ,572 ,616000 ,חידוש ורכישת רישיונות (שירות ל- PC בסעיף 571) ,130,130,130,130,77
יח' מטה למיחשוב ,10 ,573 ,616000 ,טיפול בפרוייקטים עירוניים,250,200,200,200,119
יח' מטה למיחשוב ,10 ,574 ,616000 ,קווי אינטרנט ותקשורת כלל עירוני,164,163,163,163,147
יח' מטה למיחשוב ,10 ,750 ,616000 ,שירותי ייעוץ בנושאי מיחשוב (כולל מתאם האוטומציה) ,541,521,521,516,605
יח' מטה למיחשוב ,10 ,930 ,616000 ,חידוש ציוד מיחשוב ,200,305,305,275,274
יח' מטה למיחשוב ,10 ,960 ,616000 ,שונות ורזרבה (כולל ספרות מקצועית וציוד משרדי),100,100,100,100,93
,,,616.,"סה""כ  -  יח' מטה למיחשוב:","4,609","4,331","4,317","4,262","4,036"
,,,617.,שרות משפטי,,,,,
שרות משפטי,1 ,100 ,617000 ,משכורות כוללות,"2,150","1,900","1,984","1,950","1,902"
שרות משפטי,2 ,410 ,617000 ,שכר דירה (כולל ועד בית),110,100,105,105,96
שרות משפטי,1 ,522 ,617000 ,ספרות מקצועית,20,15,20,20,12
שרות משפטי,5 ,530 ,617000 ,אחזקת רכב מינהלי - עירוני (1),35,35,37,37,40
שרות משפטי,1 ,540 ,617000 ,פלאפון וטלפון ישיר,13,12,13,13,11
שרות משפטי,1 ,560 ,617000 ,הוצאות משרד ואחרות,50,30,49,49,23
שרות משפטי,10 ,570 ,617000 ,הוצאות מיכון (בית משפט),4,4,4,4,0
שרות משפטי,1 ,581 ,617000 ,הוצאות משפטיות,250,220,300,300,16
שרות משפטי,1 ,742 ,617000 ,אחזקת מכונת צילום,3,2,3,3,2
שרות משפטי,1 ,750 ,617000 ,ייעוץ משפטי חיצוני,"2,700","2,800","3,500","3,500","4,426"
